"","year","payroll_DB_legacy_est","payroll_DB_new_est","payroll_Hybrid_legacy_est","payroll_Hybrid_new_est","payroll_est","nc_rate_DB_legacy_est","nc_rate_DB_new_est","nc_rate_Hybrid_legacy_est","nc_rate_Hybrid_new_est","PVFB_DB_legacy_est","PVFB_DB_new_est","PVFB_Hybrid_legacy_est","PVFB_Hybrid_new_est","PVFNC_DB_legacy_est","PVFNC_DB_new_est","PVFNC_Hybrid_legacy_est","PVFNC_Hybrid_new_est","n_active","nc_rate_est","AAL_active_DB_legacy_est","AAL_active_DB_new_est","AAL_active_Hybrid_legacy_est","AAL_active_Hybrid_new_est"
"11",2032,10580346546.1148,5310972688.28146,435974485.278278,279524878.330603,16606818598.0052,0.119830767657073,0.136605610220794,0.0555633290612692,0.0614904098974605,49900069782.018,10868723812.6893,859366583.071233,277666352.119476,10543809663.0548,8477251138.33858,225492278.736233,202273916.368455,174028,0.122526298145076,39356260118.9632,2391472674.35069,633874304.335,75392435.7510207
"12",2033,10418567617.6375,5946388128.6401,440011502.731601,312967796.244216,17117935045.2534,0.119705765870776,0.136536267471926,0.05537418250252,0.061493198239732,50347402686.8821,12589888557.2157,897731433.323477,322498336.126035,10014025290.7698,9542261717.41114,217052544.459935,227736178.705296,174028,0.122834379170358,40333377396.1123,3047626839.80453,680678888.863542,94762157.420739
"13",2034,10280270768.0719,6596140629.63005,444027017.941694,347165296.296319,17667603711.94,0.119582967037779,0.136432113320046,0.0551963668856805,0.0614812507271159,50968374948.4296,14414732110.3976,937018552.448122,370141107.009217,9467844445.17794,10611600970.4443,207880945.316663,253308734.026169,174028,0.123113669320037,41500530503.2516,3803131139.95327,729137607.131459,116832372.983048
"14",2035,10069279537.5683,7317496308.50449,445686722.368118,385131384.658131,18217593953.099,0.119320778672911,0.136323315284517,0.0549372788660927,0.0614640892624072,50698795706.64,16413643306.7873,970059741.750478,422250374.988226,8901248275.94261,11743809604.9368,197923933.299365,280382935.963563,174028,0.123351975172943,41797547430.6974,4669833701.85052,772135808.451113,141867439.024663
"15",2036,9479234043.3997,8249749386.32442,435092538.520081,434197336.122338,18598273304.3665,0.118930371778155,0.136240793458596,0.0545542579948784,0.0614522642155162,48299015238.8061,18765177241.263,980235696.955217,483092049.20591,8322861380.16074,13105280648.3454,187293792.876669,312919010.042423,174028,0.123760940251362,39976153858.6454,5659896592.91759,792941904.078549,170173039.163487
"16",2037,9108866793.76853,9091876837.96777,429127160.963146,478519833.577252,19108390626.2767,0.118740441189874,0.136112764139743,0.0543093765417448,0.0614246073472393,47341710173.1359,21206016419.1623,1000671267.86815,546516585.882644,7778092847.81832,14406673244.6628,176668207.779964,344032872.153449,174028,0.124123999624468,39563617325.3176,6799343174.49947,824003060.088189,202483713.729195
"17",2038,8822141408.87466,9921999393.95101,424382376.511334,522210494.418475,19690733673.7555,0.118558653009141,0.135961947307988,0.0541028825759884,0.0613859787130979,46971930296.816,23751717091.1454,1024074514.47793,612815884.228676,7240968485.33374,15665858117.4404,165729353.755525,374144978.749894,174028,0.124422599668079,39730961811.4823,8085858973.70505,858345160.722402,238670905.478782
"18",2039,8569823516.63195,10761020060.6893,419686406.859993,566369476.878384,20316899461.0596,0.118386585663868,0.135785114842572,0.05392426525716,0.0613344802791105,46842439710.7195,26421730589.4758,1047218878.99442,682449987.281446,6701895077.21475,16909981759.7147,154370098.6347,403899257.79094,174028,0.124679838778235,40140544633.5048,9511748829.76109,892848780.359721,278550729.490506
"19",2040,8258424810.41293,11663502538.5696,410643371.551318,613868554.661556,20946439275.1954,0.118064773726876,0.135608099032993,0.0536891182686365,0.0612796040620491,45929639619.7277,29286497668.1115,1054261365.43105,757063770.533971,6156475586.74381,18194571711.5093,142544724.410786,434615522.103878,174028,0.124907108652078,39773164032.9839,11091925956.6022,911716641.020267,322448248.430092
"20",2041,7596540566.28087,12772151225.3216,382993992.874072,672218485.543239,21423904270.0197,0.117584290520697,0.135465384546349,0.0533808320460117,0.0612337483777044,42923767583.9513,32528078276.9352,1006949832.82722,840988682.624833,5612399821.23405,19690093487.4896,130475774.578091,470350943.720758,174028,0.125328472900449,37311367762.7172,12837984789.4455,876474058.249132,370637738.904075
"21",2042,7161387305.49082,13786707166.9641,363894006.251325,725616166.682319,22037604645.3885,0.117327896613138,0.13527651415671,0.0532010484668102,0.061171377641566,41453458151.2338,35884322807.0766,982245264.436187,928081913.671952,5112033975.82261,21108969287.3089,119164540.790315,504262552.299262,174028,0.125648623087956,36341424175.4112,14775353519.7677,863080723.645872,423819361.37269
"22",2043,6810311023.59941,14787434330.7364,348309782.972489,778286017.407177,22724341154.7155,0.117084430769536,0.135071412993723,0.0530352647348908,0.0611006755255673,40552862846.7668,39372466649.6882,966879630.987162,1018667694.80464,4629645844.74492,22471723411.9886,108146515.982278,536833498.111075,174028,0.12589001030456,35923217002.0219,16900743237.6996,858733115.004884,481834196.69357
"23",2044,6496644763.43431,15793128240.7213,333977885.238285,831217275.827436,23454968165.2213,0.116855041651468,0.134852681916509,0.0528938166019911,0.0610216912890311,39888948906.3159,43004090111.8822,953596787.92702,1112982726.76519,4156339664.31543,23805741738.6103,97244070.5513396,568713633.805198,174028,0.126084120929831,35732609242.0005,19198348373.2719,856352717.37568,544269092.959992
"24",2045,6118160470.08744,16861739469.6705,315897940.296054,887459972.087924,24183257852.142,0.116450275104937,0.134643080890972,0.0526646493308777,0.0609434694712814,38346513826.3251,46857363865.6261,923586768.050935,1212849849.1533,3688117746.3916,25171116748.8934,86385790.4790188,601332359.528306,174028,0.126265021193193,34658396079.9335,21686247116.7327,837200977.571916,611517489.624998
"25",2046,5386720806.0518,18142725537.4994,280040244.060819,954880291.447336,24764366879.0593,0.115848329396257,0.134479027174359,0.0522779611751418,0.0608795498008283,34479171789.334,51122560288.0946,836052037.051829,1322794864.83861,3233824518.76118,26749707909.6426,75796141.5625119,639018939.984775,174028,0.126659054821034,31245347270.5729,24372852378.4521,760255895.489317,683775924.853833
"26",2047,4916598190.78414,19309211276.5596,256076596.254439,1016274277.71367,25498160341.3119,0.115576685989114,0.134269464452501,0.0520801277306659,0.0607986803467748,32399321878.8793,55509824037.8606,783268187.852057,1436009318.9384,2836149628.76931,28229527667.3037,66461938.4653989,674349654.926437,174028,0.126911360498778,29563172250.11,27280296370.5569,716806249.386658,761659664.011963
"27",2048,4537873335.52835,20454757848.979,236746598.869403,1076566202.57785,26305943985.9546,0.115324735399202,0.134050773829031,0.0518975186265308,0.0607125208455154,30911831300.7283,60040015589.7432,743404754.559443,1552895655.00008,2466435977.55226,29640830982.9164,57777772.3162115,708039685.491101,174028,0.127079749377595,28445395323.176,30399184606.8268,685626982.243232,844855969.508983
"28",2049,4203898860.72064,21598892529.1315,219598512.624793,1136783817.32271,27159173719.7996,0.115102169206302,0.133828161070972,0.0517513299192258,0.0606223638466476,29688022497.8288,64711285134.4884,708422578.490783,1673334965.1359,2115757454.28602,31014016092.3109,49535655.3537537,740811611.800452,174028,0.127201844181396,27572265043.5428,33697269042.1775,658886923.13703,932523353.335452
"29",2050,3816864754.26565,22797748269.0511,199602642.298957,1199881487.8448,28014097153.4605,0.114747866196572,0.133621349367729,0.0515340203835573,0.0605364286913958,27536131459.4346,69607857615.3467,658786487.498433,1799280988.75136,1779982598.09319,32406757842.4902,41638636.1518995,774038671.910416,174028,0.127334670812068,25756148861.3414,37201099772.8565,617147851.346534,1025242316.84094
"30",2051,3121524246.41374,24192252064.3865,163859014.294636,1273276424.44139,28750911749.5363,0.114215848845248,0.133463191882072,0.0511157219429989,0.0604673583316451,23032200413.9485,74905460066.1198,552251660.517937,1934889120.57223,1466604293.84682,33993393675.2209,34267014.0456861,811872397.312809,174028,0.127671434785281,21565596120.1017,40912066390.8989,517984646.47225,1123016723.25942
"31",2052,2679097571.04797,25472420674.5901,140666600.70635,1340653719.71527,29632838566.0597,0.114060185959872,0.133267266382426,0.050930005364271,0.0603838479648723,20348505332.7927,80324580692.4759,485191039.484201,2073543197.82927,1212739052.92093,35480071550.0767,28289933.2163456,847321269.283151,174028,0.12784250186739,19135766279.8718,44844509142.3991,456901106.267855,1226221928.54612
